Date,Non indexées,Dans l'index,Impressions
2025-03-09,,,3
2025-03-10,,,1
2025-03-11,,,2
2025-03-12,,,3
2025-03-13,,,2
2025-03-14,,,2
2025-03-15,,,1
2025-03-16,,,5
2025-03-17,,,11
2025-03-18,,,3
2025-03-19,,,2
2025-03-20,,,4
2025-03-21,,,13
2025-03-22,,,0
2025-03-23,,,3
2025-03-24,,,2
2025-03-25,,,9
2025-03-26,,,27
2025-03-27,,,25
2025-03-28,,,15
2025-03-29,,,14
2025-03-30,,,7
2025-03-31,,,6
2025-04-01,,,10
2025-04-02,,,6
2025-04-03,,,1
2025-04-04,,,5
2025-04-05,,,2
2025-04-06,,,2
2025-04-07,,,2
2025-04-08,,,0
2025-04-09,,,5
2025-04-10,,,8
2025-04-11,,,2
2025-04-12,11,6,2
2025-04-13,10,7,7
2025-04-14,10,7,5
2025-04-15,10,7,18
2025-04-16,10,7,6
2025-04-17,10,7,6
2025-04-18,10,7,6
2025-04-19,10,7,17
2025-04-20,4,9,6
2025-04-21,4,9,15
2025-04-22,4,9,8
2025-04-23,4,9,29
2025-04-24,4,9,27
2025-04-25,4,9,6
2025-04-26,4,9,12
2025-04-27,4,9,16
2025-04-28,4,9,30
2025-04-29,4,9,16
2025-04-30,4,9,14
2025-05-01,4,9,6
2025-05-02,4,9,9
2025-05-03,4,9,10
2025-05-04,4,9,10
2025-05-05,4,9,7
2025-05-06,4,9,9
2025-05-07,4,9,6
2025-05-08,4,9,6
2025-05-09,4,9,5
2025-05-10,4,9,5
2025-05-11,4,9,2
2025-05-12,4,9,4
2025-05-13,4,9,4
2025-05-14,4,9,6
2025-05-15,4,9,5
2025-05-16,4,9,9
2025-05-17,4,9,19
2025-05-18,4,9,6
2025-05-19,4,9,6
2025-05-20,4,9,3
2025-05-21,4,9,3
2025-05-22,4,9,3
2025-05-23,4,9,16
2025-05-24,4,9,6
2025-05-25,4,9,4
2025-05-26,4,9,3
2025-05-27,4,9,3
2025-05-28,4,9,3
2025-05-29,4,9,4
2025-05-30,4,9,2
2025-05-31,4,9,4
2025-06-01,5,8,4
2025-06-02,5,8,6
2025-06-03,5,8,8
