Date,Non indexées,Dans l'index,Impressions
2025-03-09,,,3
2025-03-10,,,1
2025-03-11,73,9,2
2025-03-12,71,9,3
2025-03-13,71,9,2
2025-03-14,71,9,2
2025-03-15,71,9,1
2025-03-16,73,9,5
2025-03-17,73,9,11
2025-03-18,73,9,3
2025-03-19,82,24,2
2025-03-20,82,24,4
2025-03-21,82,24,13
2025-03-22,82,24,0
2025-03-23,91,25,3
2025-03-24,91,25,2
2025-03-25,91,25,9
2025-03-26,92,25,27
2025-03-27,92,25,25
2025-03-28,92,25,15
2025-03-29,92,25,14
2025-03-30,100,33,7
2025-03-31,100,33,6
2025-04-01,100,33,10
2025-04-02,113,36,6
2025-04-03,113,36,1
2025-04-04,113,36,5
2025-04-05,113,36,2
2025-04-06,130,37,2
2025-04-07,130,37,2
2025-04-08,130,37,0
2025-04-09,148,41,5
2025-04-10,148,41,8
2025-04-11,148,41,2
2025-04-12,148,41,2
2025-04-13,166,36,7
2025-04-14,166,36,5
2025-04-15,166,36,18
2025-04-16,168,36,6
2025-04-17,168,36,6
2025-04-18,168,36,6
2025-04-19,168,36,17
2025-04-20,165,34,6
2025-04-21,165,34,15
2025-04-22,165,34,8
2025-04-23,164,35,29
2025-04-24,164,35,27
2025-04-25,164,35,6
2025-04-26,164,35,12
2025-04-27,165,34,16
2025-04-28,165,34,30
2025-04-29,165,34,16
2025-04-30,173,35,14
2025-05-01,173,35,6
2025-05-02,173,35,9
2025-05-03,173,35,10
2025-05-04,174,35,10
2025-05-05,174,35,7
2025-05-06,174,35,9
2025-05-07,176,34,6
2025-05-08,176,34,6
2025-05-09,176,34,5
2025-05-10,176,34,5
2025-05-11,186,35,2
2025-05-12,186,35,4
2025-05-13,186,35,4
2025-05-14,188,35,6
2025-05-15,188,35,5
2025-05-16,188,35,9
2025-05-17,188,35,19
2025-05-18,186,35,6
2025-05-19,186,35,6
2025-05-20,186,35,3
2025-05-21,204,26,3
2025-05-22,204,26,3
2025-05-23,204,26,16
2025-05-24,204,26,6
2025-05-25,204,26,4
2025-05-26,204,26,3
2025-05-27,204,26,3
2025-05-28,211,22,3
2025-05-29,211,22,4
2025-05-30,211,22,2
2025-05-31,211,22,4
2025-06-01,221,12,4
2025-06-02,221,12,6
2025-06-03,221,12,8
