Raison,Source,Validation,Pages
Introuvable (404),Site Web,Échec,83
Autre page avec balise canonique correcte,Site Web,Échec,37
Page avec redirection,Site Web,Échec,19
Soft 404,Site Web,Échec,17
Page en double sans URL canonique sélectionnée par l'utilisateur,Site Web,Échec,15
"Explorée, actuellement non indexée",Systèmes Google,Échec,45
Bloquée en raison d'un autre problème de type 4xx,Site Web,Commencé,5
"Exclue par la balise ""noindex""",Site Web,Réussi,0
Bloquée par le fichier robots.txt,Site Web,Réussi,0
Page en double : Google n'a pas choisi la même URL canonique que l'utilisateur,Systèmes Google,Sans objet,0
"Détectée, actuellement non indexée",Systèmes Google,Réussi,0
