Date,Clics,Impressions,CTR,Position
2025-06-05,3,8,37.5%,21.62
2025-06-04,6,33,18.18%,25.24
2025-06-03,2,8,25%,27.12
2025-06-02,2,6,33.33%,19.33
2025-06-01,0,4,0%,62
2025-05-31,0,4,0%,75.25
2025-05-30,0,2,0%,63.5
2025-05-29,0,4,0%,29.25
2025-05-28,0,3,0%,66.33
2025-05-27,0,3,0%,74
2025-05-26,0,3,0%,65
2025-05-25,0,4,0%,73.75
2025-05-24,1,6,16.67%,36.67
2025-05-23,0,16,0%,70.44
2025-05-22,0,3,0%,68
2025-05-21,0,3,0%,48.33
2025-05-20,0,3,0%,65.67
2025-05-19,2,6,33.33%,18.67
2025-05-18,0,6,0%,84.83
2025-05-17,6,19,31.58%,40.84
2025-05-16,1,9,11.11%,53.67
2025-05-15,0,5,0%,51.2
2025-05-14,0,6,0%,51
2025-05-13,0,4,0%,46.75
2025-05-12,0,4,0%,47.25
2025-05-11,0,2,0%,48.5
2025-05-10,0,5,0%,54.6
2025-05-09,0,5,0%,37.6
2025-05-08,1,6,16.67%,36.67
2025-05-07,1,6,16.67%,39.33
2025-05-06,0,9,0%,52.22
2025-05-05,1,7,14.29%,47.86
2025-05-04,0,10,0%,49.3
2025-05-03,0,10,0%,36.1
2025-05-02,1,9,11.11%,47.44
2025-05-01,0,6,0%,65.17
2025-04-30,0,14,0%,65.64
2025-04-29,1,16,6.25%,68.69
2025-04-28,1,30,3.33%,71
2025-04-27,1,16,6.25%,50.62
2025-04-26,3,12,25%,22.67
2025-04-25,2,6,33.33%,39
2025-04-24,6,27,22.22%,56.63
2025-04-23,7,29,24.14%,54.21
2025-04-22,1,8,12.5%,59.38
2025-04-21,6,15,40%,44.93
2025-04-20,0,6,0%,76.17
2025-04-19,0,17,0%,83.59
2025-04-18,0,6,0%,47.17
2025-04-17,1,6,16.67%,49.5
2025-04-16,2,6,33.33%,55.5
2025-04-15,1,18,5.56%,51.22
2025-04-14,1,5,20%,49.6
2025-04-13,1,7,14.29%,46.57
2025-04-12,0,2,0%,49.5
2025-04-11,0,2,0%,21.5
2025-04-10,5,8,62.5%,1
2025-04-09,2,5,40%,1
2025-04-08,0,0,0%,0
2025-04-07,2,2,100%,1
2025-04-06,1,2,50%,50
2025-04-05,0,2,0%,82.5
2025-04-04,2,5,40%,44.6
2025-04-03,0,1,0%,61
2025-04-02,1,6,16.67%,48.83
2025-04-01,0,10,0%,74.4
2025-03-31,0,6,0%,69.83
2025-03-30,2,7,28.57%,15
2025-03-29,0,14,0%,93
2025-03-28,0,15,0%,92.8
2025-03-27,0,25,0%,90.24
2025-03-26,0,27,0%,95.81
2025-03-25,0,9,0%,75.67
2025-03-24,0,2,0%,69
2025-03-23,0,3,0%,86.33
2025-03-22,0,0,0%,0
2025-03-21,10,13,76.92%,1.15
2025-03-20,3,4,75%,1
2025-03-19,2,2,100%,1
2025-03-18,1,3,33.33%,24
2025-03-17,6,11,54.55%,27
2025-03-16,4,5,80%,14.2
2025-03-15,0,1,0%,74
2025-03-14,0,2,0%,76
2025-03-13,0,2,0%,68.5
2025-03-12,0,3,0%,90
2025-03-11,0,2,0%,79.5
2025-03-10,0,1,0%,87
2025-03-09,0,3,0%,81.33
2025-03-08,0,2,0%,82.5
2025-03-07,2,3,66.67%,27.67
2025-03-06,7,10,70%,18.2
