Pays,Clics,Impressions,CTR,Position
France,109,201,54.23%,10.84
États-Unis,1,118,0.85%,64.41
Cameroun,1,1,100%,1
Brésil,0,79,0%,69.34
Russie,0,47,0%,77.38
Corée du Sud,0,27,0%,69.63
Vietnam,0,26,0%,73.58
Royaume-Uni,0,19,0%,77.84
Inde,0,18,0%,73.44
Maroc,0,9,0%,87.22
Colombie,0,8,0%,68.75
Argentine,0,8,0%,69.25
Taïwan,0,8,0%,69.75
Italie,0,8,0%,77.88
Allemagne,0,7,0%,57
Philippines,0,7,0%,61.57
Australie,0,5,0%,61.2
Ukraine,0,5,0%,64.4
Pays-Bas,0,5,0%,76.2
Égypte,0,5,0%,81.8
Japon,0,5,0%,82.4
Mexique,0,4,0%,52
Malaisie,0,4,0%,80.5
Albanie,0,4,0%,81.5
Belgique,0,3,0%,41.33
Canada,0,3,0%,60.67
Bangladesh,0,3,0%,67
Pakistan,0,3,0%,67
Indonésie,0,3,0%,68.67
Venezuela,0,3,0%,70
Suède,0,3,0%,75
Arabie Saoudite,0,3,0%,80.67
Pologne,0,3,0%,87
Autriche,0,2,0%,27.5
Nigéria,0,2,0%,29
Thaïlande,0,2,0%,49
Iran,0,2,0%,63.5
Émirats Arabes Unis,0,2,0%,70
Turquie,0,2,0%,75
Arménie,0,2,0%,85.5
Chili,0,2,0%,93
Singapour,0,2,0%,94
Jamaïque,0,2,0%,95
Paraguay,0,2,0%,96.5
Roumanie,0,2,0%,97.5
Espagne,0,2,0%,99
Tunisie,0,2,0%,99.5
Kazakhstan,0,1,0%,1
Côte d'Ivoire,0,1,0%,52
Afrique du Sud,0,1,0%,53
Myanmar (Birmanie),0,1,0%,54
Barbade (La),0,1,0%,58
Kenya,0,1,0%,60
Bahreïn,0,1,0%,62
Hong-Kong,0,1,0%,62
Géorgie,0,1,0%,63
Chypre,0,1,0%,64
Bahamas,0,1,0%,73
Croatie,0,1,0%,74
Algérie,0,1,0%,77
Norvège,0,1,0%,77
Portugal,0,1,0%,78
Slovaquie,0,1,0%,79
République tchèque,0,1,0%,81
Irlande,0,1,0%,82
Équateur,0,1,0%,83
Luxembourg,0,1,0%,85
Uruguay,0,1,0%,87
Réunion (Île de la),0,1,0%,90
Danemark,0,1,0%,92
Pérou,0,1,0%,93
Biélorussie,0,1,0%,94
Finlande,0,1,0%,96
Irak,0,1,0%,98
République démocratique du Congo,0,1,0%,100
